src,trg
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/0.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/0.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/1.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/1.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/2.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/2.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/3.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/3.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/4.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/4.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/5.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/5.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/6.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/6.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/7.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/7.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/8.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/8.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/9.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/9.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/10.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/10.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/11.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/11.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/12.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/12.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/13.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/13.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/14.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/14.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/15.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/15.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/16.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/16.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/17.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/17.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/18.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/18.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/19.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/19.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/20.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/20.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/21.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/21.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/22.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/22.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/23.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/23.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/24.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/24.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/25.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/25.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/26.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/26.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/27.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/27.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/28.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/28.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/29.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/29.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/30.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/30.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/31.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/31.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/32.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/32.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/33.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/33.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/34.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/34.png
/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images_Star/35.png,/home/yahiya.hussain001/istn/data/alt_haehn_assignment1_data/Train_Images/35.png
